Област,Община,Населено място,Училище,Код по Админ,БЕЛ(ООП),,Мат(ПП),,Ист(ПП),,ФА(ПП),,ГИ(ПП),,ХООС(ПП),,Фил(ПП),,БЗО(ПП),,Инф(ПП),,ИТ(ПП),,МУЗ(ПП),,ИИ(ПП),,Пр(ПП),,АЕ(ПП),,,,,,РЕ(ПП),,,,,,НЕ(ПП),,,,,,ИсЕ(ПП),,,,,,ФЕ(ПП),,,,,,ИтЕ(ПП),,,,,,ДИППК-п.р,,ДИППК-тест,,ДИППК-Д.Пр,,ДИППК-пр.,
,,,,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,З,,З,,З,,З,
,,,,,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.
ПЛЕВЕН,ПЛЕВЕН,ГР.ПЛЕВЕН,Професионална гимназия по ресторантьорство търговия и обслужване,1500149,33,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.16,,,24,4.56,,
ПЛЕВЕН,ПЛЕВЕН,ГР.ПЛЕВЕН,"Професионална гимназия по подемна строителна и транспортна техника ""Г.С.Раковски""",1500151,16,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4.48,,
ПЛЕВЕН,ПЛЕВЕН,ГР.ПЛЕВЕН,"Професионална гимназия ""Захарий Зограф""",1500152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛЕВЕН,ПЛЕВЕН,ГР.ПЛЕВЕН,"Професионална гимназия по туризъм ""Алеко Константинов""",1500153,86,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4.3,,,68,4.82,,
ПЛЕВЕН,ПЛЕВЕН,ГР.ПЛЕВЕН,НАЦИОНАЛНО УЧИЛИЩЕ ПО ИЗКУСТВАТА ПАНАЙОТ ПИПКОВ,2902107,57,04.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,4.76,,,2,3.97
ПЛЕВЕН,ПЛЕВЕН,ГР.СЛАВЯНОВО,"Средно училище ""Христо Ботев""",1500137,14,2.24,,,,,,,5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛЕВЕН,ПОРДИМ,ГР.ПОРДИМ,"Средно училище ""Свети Свети Кирил и Методий""",1500305,28,03.05,,,,,,,,,,,,,,,,,,,6,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.6,,,11,05.01,,
ПЛЕВЕН,ЧЕРВЕН БРЯГ,ГР.КОЙНАРЕ,"Средно училище "" Христо Смирненски""",1500216,15,2.49,,,2,2.86,,,,,,,,,14,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛЕВЕН,ЧЕРВЕН БРЯГ,ГР.ЧЕРВЕН БРЯГ,"Средно училище ""Д-р Петър Берон""",1500215,34,3.94,,,,,,,6,2.27,,,,,6,3.85,,,,,,,,,,,,,,,22,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛЕВЕН,ЧЕРВЕН БРЯГ,ГР.ЧЕРВЕН БРЯГ,"Професионална гимназия по хранителни технологии ""Юрий Гагарин""",1500217,18,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.44,,,,,,
ПЛЕВЕН,ЧЕРВЕН БРЯГ,ГР.ЧЕРВЕН БРЯГ,"Професионална гимназия по механоелектротехника ""Девети май""",1500218,44,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,3.99,,,,,,
ПЛЕВЕН,ЧЕРВЕН БРЯГ,ГР.ЧЕРВЕН БРЯГ,"Търговска гимназия ""Васил Евстатиев Априлов""",1500219,16,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4.46,,,,,,
ПЛЕВЕН,ЧЕРВЕН БРЯГ,С.ЧОМАКОВЦИ,"Професионална гимназия по земеделско стопанство ""Александър Стамболийски""",1500220,8,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.48,,,,,,
ПЛОВДИВ,АСЕНОВГРАД,ГР.АСЕНОВГРАД,Средно училище Свети княз Борис I,1600114,78,04.06,,,,,,,6,3.88,,,,,10,2.33,,,,,,,,,,,,,,,62,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,АСЕНОВГРАД,ГР.АСЕНОВГРАД,"Средно училище ""Свети свети Кирил и Методий""",1600116,100,3.68,,,1,2,,,12,3.14,,,27,3.66,5,2.33,2,3.3,4,03.03,,,,,14,3.89,,,,,43,04.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,АСЕНОВГРАД,ГР.АСЕНОВГРАД,"Професионална гимназия "" Свети Патриарх Евтимий """,1600128,11,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2.64,,,4,3.51,,
ПЛОВДИВ,АСЕНОВГРАД,ГР.АСЕНОВГРАД,"Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски""",1600617,27,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3.59,,,,
ПЛОВДИВ,АСЕНОВГРАД,ГР.АСЕНОВГРАД,"Професионална гимназия ""Цар Иван Асен II""",1600618,104,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,4.77,,
ПЛОВДИВ,БРЕЗОВО,ГР.БРЕЗОВО,"Средно училище ""Христо Смирненски""",1600705,10,3.7,,,,,,,,,,,,,,,,,1,3.53,,,,,8,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,БРЕЗОВО,ГР.БРЕЗОВО,"Професионална гимназия ""Златю Бояджиев"" гр. Брезово",1600706,11,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.58,,
ПЛОВДИВ,КАРЛОВО,ГР.КАРЛОВО,"Средно училище ""Васил Левски""",1601301,75,4.68,,,,,,,,,,,,,17,04.08,,,12,3.15,,,,,,,,,,,51,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,КАРЛОВО,ГР.КАРЛОВО,"Средно училище ""Христо Проданов""",1601302,78,3.48,,,3,4.29,,,46,3.37,,,,,1,2,,,3,3.42,,,,,,,,,,,24,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,КАРЛОВО,ГР.КАРЛОВО,"Професионална гимназия по железопътен транспорт ""Христо Смирненски""",1601361,40,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3.34,,,20,4.2,,
ПЛОВДИВ,КАРЛОВО,ГР.КАРЛОВО,"Професионална гимназия ""Братя Евлогий и Христо Георгиеви""",1601364,16,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.12,,,8,04.05,,
ПЛОВДИВ,КАРЛОВО,ГР.КЛИСУРА,"Професионална гимназия по икономика ""Тодор Генчов Влайков""",1600623,12,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3.22,,,,,,
ПЛОВДИВ,КРИЧИМ,ГР.КРИЧИМ,"Средно училище ""Петко Рачов Славейков""",1601403,6,2.86,,,,,,,3,2,,,,,1,3.42,,,,,,,,,2,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,КУКЛЕН,С.КУКЛЕН,Професионална гимназия по селско стопанство,1601102,9,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.41,,,,,,
ПЛОВДИВ,ЛЪКИ,ГР.ЛЪКИ,"Средно училище ""Христо Ботев""",1601501,5,2.2,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,МАРИЦА,С.КАЛЕКОВЕЦ,"Средно училище ""Свети свети Кирил и Методий""",1601709,4,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.47,,,,,,
ПЛОВДИВ,МАРИЦА,С.МАНОЛЕ,"Средно училище ""Васил Левски""",1601708,6,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.47,,
ПЛОВДИВ,ПЕРУЩИЦА,ГР.ПЕРУЩИЦА,"Професионална гимназия по лозарство и винарство ""Христо Ботев""",1602402,4,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.99,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Частно средно бизнес училище ""Талантите""",1600017,2,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.64,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Любен Каравелов""",1690150,27,3.77,,,,,,,,,,,,,,,,,,,15,4.37,,,,,8,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Хуманитарна гимназия ""Св. Св. Кирил и Методий""",1690153,186,4.82,6,2.42,13,4.91,,,3,3.72,2,5.1,27,4.23,20,3.84,,,,,,,,,,,,,23,5.74,56,5.14,,,,,14,5.18,,,,,17,4.31,,,,,,,,,,,5,4.53,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище "" СВ. ПАИСИЙ ХИЛЕНДАРСКИ """,1690154,101,3.94,,,2,4.81,,,7,3.27,,,9,04.08,13,2.63,1,2,7,4.16,,,,,11,04.02,,,,,51,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Свети Климент Охридски""",1690155,61,3.62,,,9,3.44,,,,,,,12,3.56,15,2.8,,,,,,,,,,,,,,,26,04.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Свети Патриарх Евтимий""",1690156,124,4.48,,,13,4.64,,,26,3.96,,,,,11,3.6,,,,,,,,,,,,,32,5.64,41,4.53,,,,,,,,,,,,,,,,,1,4.83,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Цар Симеон Велики""",1690157,27,3.19,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,24,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,Професионална гимназия по електротехника и електроника,1690174,212,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,4.64,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,Национална търговска гимназия - Пловдив,1690175,181,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.3,,,155,5.31,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Професионална гимназия по облекло ""Ана Май""",1690176,27,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4.36,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Професионална гимназия по вътрешна архитектура и дървообработване ""Христо Ботев""",1690177,59,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,4.96,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""",1690178,133,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,05.07,85,5.33,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,Професионална гимназия по битова техника,1690179,101,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,3.37,90,4.68,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"ДУ-Пловдивска духовна семинария ""Св. Св. Кирил и Методий""-Пловдив",1690187,2,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.26,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Найден Геров""",1690247,11,2.28,,,,,,,,,,,,,,,,,,,,,,,12,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Професионална гимназия по архитектура строителство и геодезия ""Арх.Камен Петков""",1690272,182,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,3.77,,,60,4.39,1,2
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Професионална гимназия по транспорт и строителни технологии ""Гоце Делчев""",1690273,62,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2.54,,,17,4.22,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Свети свети Кирил и Методий""",1690345,46,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,04.08,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Математическа гимназия ""Академик Кирил Попов""",1690346,214,05.08,94,04.05,,,,,,,4,4.6,,,1,4.34,,,,,,,,,,,,,,,36,5.23,,,,,,,,,,,1,3.39,,,,,,,,,,,,,,,,,,,15,5.61,,,64,5.59,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Спортно училище ""Васил Левски""",1690347,75,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.79,62,5.33,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Никола Вапцаров""",1690446,16,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4.44,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Пейо Крачолов Яворов""",1690447,44,3.89,,,4,5.1,,,,,,,5,3.34,,,,,10,2.45,,,,,,,,,,,24,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Христо Груев Данов""",1690448,23,3.21,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3.97,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Езикова гимназия ""Пловдив""",1690449,273,5.21,16,4.79,8,5.32,,,,,2,5.97,,,1,3.32,1,3.97,,,,,,,,,,,92,5.9,144,5.29,,,,,,,,,3,4.94,8,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Езикова гимназия ""Иван Вазов""",1690450,227,05.06,13,3.59,8,4.55,,,3,3.15,,,,,1,5.59,,,,,,,,,,,,,,,48,5.17,,,23,4.75,,,,,,,40,4.96,,,,,47,4.83,,,,,2,05.09,,,,,42,4.96,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Френска езикова гимназия ""Антоан дьо Сент - Екзюпери""",1690451,207,4.34,,,11,4.37,,,,,,,,,2,3.46,,,,,,,,,,,1,4.25,118,5.38,71,4.53,,,,,,,,,,,,,,,,,,,,,3,4.76,5,05.06,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,Професионална гимназия по хранителни технологии и техника,1690472,120,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,5.14,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Професионална гимназия по кожени изделия и текстил ""Д-р Иван Богоров""",1690473,6,03.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.52,,,3,4.64,1,5.32
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Братя Миладинови""",1690542,12,2,,,,,,,3,2,,,,,,,,,3,2.47,,,,,5,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище "" Константин Величков """,1690549,11,3.36,,,,,,,,,,,,,11,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Свети Константин - Кирил Философ""",1690550,24,3.5,,,2,3.83,,,,,,,,,4,2.25,,,2,4.22,,,,,,,,,,,20,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Професионална гимназия по механотехника ""Професор Цветан Лазаров""",1690572,98,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,03.07,88,4.65,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,Професионална гимназия по машиностроене,1690573,13,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3.99,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище Димитър Матевски""",1690642,26,3.34,,,,,,,,,,,,,,,,,,,,,,,18,2.85,,,,,6,04.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Средно училище ""Свети Софроний Врачански""",1690644,19,3.48,,,,,,,5,4.39,,,,,,,,,,,,,,,14,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"СРЕДНО УЧИЛИЩЕ ""ЧЕРНОРИЗЕЦ ХРАБЪР""",1690645,45,4,,,,,,,30,3.93,,,1,03.09,,,,,2,4.2,,,,,13,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"ЧАСТНО СРЕДНО УЧИЛИЩЕ ""ДРУЖБА""",1690901,12,3.93,,,,,,,2,2.55,,,,,,,,,,,,,,,,,,,,,10,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Частна профилирана гимназия ""Класик""",1690904,10,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Частна езикова гимназия ""Стоян Сариев""",1690909,11,3.81,,,1,05.06,,,,,,,,,,,,,,,,,,,,,,,,,10,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,Частна професионална гимназия по икономика и управление,1690910,8,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,05.09,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Национално училище за музикално и танцово изкуство ""Добрин Петков""",2902102,23,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4.48,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,Национална гимназия за сценични и екранни изкуства,2902302,43,04.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5.15,,,,
ПЛОВДИВ,ПЛОВДИВ,ГР.ПЛОВДИВ,"Национална художествена гимназия ""Цанко Лавренов""",2902402,49,04.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,05.06,,,,
ПЛОВДИВ,ПЪРВОМАЙ,ГР.ПЪРВОМАЙ,"Средно училище ""Проф. д-р Асен Златаров""",1602314,60,3.86,,,,,,,,,,,,,22,2.69,,,11,4.49,,,,,,,,,,,28,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ПЪРВОМАЙ,ГР.ПЪРВОМАЙ,"Професионална гимназия по селско стопанство ""Васил Левски""",1602315,52,03.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.1,,,39,05.03,,
ПЛОВДИВ,РАКОВСКИ,ГР.РАКОВСКИ,"Професионална гимназия ""Петър Парчевич""",1602511,29,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.84,9,4.46,,
ПЛОВДИВ,РАКОВСКИ,С.БЕЛОЗЕМ,Професионална гимназия по селско стопанство,1602510,20,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4.38,,
ПЛОВДИВ,САДОВО,ГР.САДОВО,Професионална селскостопанска гимназия,1602810,16,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.56,,,5,3.86,,
ПЛОВДИВ,СОПОТ,ГР.СОПОТ,"Средно училище ""Иван Вазов""",1601303,15,2.92,,,,,,,,,,,,,14,2.4,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,СОПОТ,ГР.СОПОТ,"Професионална гимназия ""Генерал Владимир Заимов""",1601363,110,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,4.87,1,3.28
ПЛОВДИВ,СТАМБОЛИЙСКИ,ГР.СТАМБОЛИЙСКИ,Средно училище Отец Паисий,1602907,9,2.72,,,,,,,1,2,,,,,,,,,,,,,,,5,2.94,2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,СЪЕДИНЕНИЕ,ГР.СЪЕДИНЕНИЕ,"Средно училище ""Христо Ботев""",1603301,11,2.22,,,,,,,,,,,,,7,2,,,1,3,,,,,3,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПЛОВДИВ,ХИСАРЯ,ГР.ХИСАРЯ,"Средно училище ""Христо Смирненски""",1603708,31,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,04.09,15,4.34,,
РАЗГРАД,ЗАВЕТ,ГР.ЗАВЕТ,"Средно училище ""Свети Свети Кирил и Методий""",1701101,15,3.93,,,,,,,10,2.29,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РАЗГРАД,ЗАВЕТ,ГР.ЗАВЕТ,"Професионална гимназия по земеделие ""Климент Тимирязев""",1701102,1,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РАЗГРАД,ИСПЕРИХ,ГР.ИСПЕРИХ,"Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""",1701401,54,3.43,2,3.8,,,,,6,2,,,,,27,2.85,,,,,,,,,11,3.33,,,,,11,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РАЗГРАД,ИСПЕРИХ,ГР.ИСПЕРИХ,"Професионална гимназия по селско стопанство ""Хан Аспарух""",1701405,56,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,3.21,,,,,,
