"Област","Община","Населено място","Училище","Код по Админ","Бр. БЕЛ(ООП) З","Ср.усп.  БЕЛ(ООП) З","Бр. Мат(ПП) З","Ср.усп. Мат(ПП) З","Бр. Ист(ПП) З","Ср.усп. Ист(ПП) З","Бр. ФА(ПП) З","Ср.усп. ФА(ПП) З","Бр. ГИ(ПП) З","Ср.усп. ГИ(ПП) З","Бр. ХООС(ПП) З","Ср.усп. ХООС(ПП) З","Бр. Фил(ПП) З","Ср.усп. Фил(ПП) З","Бр. БЗО(ПП) З","Ср.усп. БЗО(ПП) З","Бр. Инф(ПП) З","Ср.усп. Инф(ПП) З","Бр. ИТ(ПП) З","Ср.усп. ИТ(ПП)З","Бр. МУЗ(ПП) З","Ср.усп. МУЗ(ПП) З","Бр. ИИ(ПП) З","Ср.усп. ИИ(ПП) З","Бр. Пр(ПП) З","Ср.усп. Пр(ПП) З","Бр. АЕ(ПП) B1-З","Ср.усп. АЕ(ПП) B1-З","Бр. АЕ(ПП) B1.1-З","Ср.усп. АЕ(ПП) B1.1-З","Бр. АЕ(ПП) B2-З","Ср.усп.  АЕ(ПП) B2-З","Бр. РЕ(ПП) B1-З","Ср.усп. РЕ(ПП) B1-З","Бр. РЕ(ПП) B1.1-З","Ср.усп. РЕ(ПП) B1.1-З","Бр. РЕ(ПП) B2-З","Ср.усп.  РЕ(ПП) B2-З","Бр. НЕ(ПП) B1-З","Ср.усп. НЕ(ПП) B1-З","Бр. НЕ(ПП) B1.1-З","Ср.усп. НЕ(ПП) B1.1-З","Бр. НЕ(ПП) B2-З","Ср.усп. НЕ(ПП) B2-З","Бр. ИЕ(ПП) B1-З","Ср.усп.  ИЕ(ПП) B1-З","Бр. ИЕ(ПП) B1.1-З","Ср.усп. ИЕ(ПП) B1.1-З","Бр. ИЕ(ПП) B2-З","Ср.усп. ИЕ(ПП) B2-З","Бр. ФЕ(ПП) B1-З","Ср.усп. ФЕ(ПП) B1-З","Бр. ФЕ(ПП) B1.1-З","Ср.усп. ФЕ(ПП) B1.1-З","Бр. ФЕ(ПП)  B2-З","Ср.усп. ФЕ(ПП)  B2-З","Бр. ИТЕ(ПП) B1-З","Ср.усп. ИТЕ(ПП) B1-З","Бр. ИТЕ(ПП) B1.1-З","Ср.усп.  ИТЕ(ПП) B1.1-З","Бр. ИТЕ(ПП) B2-З","Ср.усп. ИТЕ(ПП) B2-З","Бр. ДИППК З","Ср.усп. ДИППК З","Бр. ДИППК-Пр З","Ср.усп. ДИППК-Пр З"
"ВАРНА","ВАРНА","ГР.ВАРНА","Професионална гимназия по химични и хранително-вкусови технологии ""Дм.Ив.Менделеев""","400058","37","3,63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","4,26","23","4,46"
"ВАРНА","ВАРНА","ГР.ВАРНА","Професионална гимназия по строителство архитектура и геодезия ""Васил Левски""","400063","68","3,43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","3,06","27","4,86"
"ВАРНА","ВАРНА","ГР.ВАРНА","Частна Търговска Гимназия ""Конто Трейд"" ЕООД","400070","6","4,14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4,71","",""
"ВАРНА","ВАРНА","ГР.ВАРНА","Частна профилирана гимназия ""Антоан дьо Сент-Екзюпери""","400074","16","4,62","","","","","","","","","","","","","","","","","","","","","","","","","","","15","5,61","","","","","","","","","","","","","","","","","","","1","4,27","","","","","","","","","","","","","","","",""
"ВАРНА","ВАРНА","ГР.ВАРНА","Частна езикова гимназия с изучаване на чужди езици ""Джордж Байрон""","400076","15","4,16","","","","","","","","","","","","","2","2,62","","","","","","","","","","","","","","","12","3,92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВАРНА","ВАРНА","ГР.ВАРНА","Варненска търговска гимназия ""Георги Стойков Раковски""","402030","128","4,38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","5,43"
"ВАРНА","ВАРНА","ГР.ВАРНА","Професионална гимназия по текстил и моден дизайн","402161","56","3,26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","4,72","23","5,02"
"ВАРНА","ВАРНА","ГР.ВАРНА","Професионална гимназия по горско стопанство и дървообработване ""Николай Хайтов""","402172","56","2,51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","37","4,35"
"ВАРНА","ВАРНА","ГР.ВАРНА","Варненска морска гимназия ""Свети Николай Чудотворец""","402183","70","3,19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","3,62","48","4,04"
"ВАРНА","ВАРНА","ГР.ВАРНА","Професионална гимназия по електротехника","403531","97","3,63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","3,59","77","4,27"
"ВАРНА","ВАРНА","ГР.ВАРНА","Професионална гимназия по туризъм ""Професор д-р Асен Златаров""","403534","162","3,92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","4,2","",""
"ВАРНА","ВАРНА","ГР.ВАРНА","Средно училище ""Димчо Дебелянов""","403537","24","3,92","","","","","","","4","4,3","","","","","","","","","1","3,55","","","","","9","3,89","","","","","8","5,19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВАРНА","ВАРНА","ГР.ВАРНА","Средно училище ""Неофит Бозвели""","403538","27","3","","","","","","","2","3,76","","","","","25","2,52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВАРНА","ВАРНА","ГР.ВАРНА","Частно средно училище ""Монтесори Варна"" ООД","403564","1","4,34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВАРНА","ВАРНА","ГР.ВАРНА","НАЦИОНАЛНО УЧИЛИЩЕ ПО ИЗКУСТВАТА ""ДОБРИ ХРИСТОВ""","2902106","61","4,52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","5,03","",""
"ВАРНА","ВЕТРИНО","С.ВЕТРИНО","Средно училище ""Христо Ботев""","400108","31","3,13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","3,83","",""
"ВАРНА","ВЪЛЧИ ДОЛ","ГР.ВЪЛЧИДОЛ","Средно училище ""Васил Левски""","400112","20","3,02","","","","","","","7","4,02","","","","","","","","","1","3,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2,76","",""
"ВАРНА","ВЪЛЧИ ДОЛ","С.СТЕФАН КАРАДЖА","Професионална гимназия по земеделие и горско стопанство","400113","11","2,34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2,99","",""
"ВАРНА","ДЕВНЯ","ГР.ДЕВНЯ","Среднo училище ""Васил Левски""","400123","21","2,71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","2,83","",""
"ВАРНА","ДОЛНИ ЧИФЛИК","ГР.ДОЛНИ ЧИФЛИК","Средно училище ""Васил Левски""","400126","21","3,55","","","","","","","6","3,79","","","","","15","3,82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВАРНА","ДОЛНИ ЧИФЛИК","ГР.ДОЛНИ ЧИФЛИК","Професионална гимназия по селско стопанствo ""Иван Владимирович Мичурин""","400127","20","2,43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","4,23","",""
"ВАРНА","ДЪЛГОПОЛ","ГР.ДЪЛГОПОЛ","Средно училище ""Свети Климент Охридски""","400136","35","3,1","","","13","2,8","","","","","","","5","4,19","6","3,16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","3,33","",""
"ВАРНА","ДЪЛГОПОЛ","С.МЕДОВЕЦ","Средно училище ""Назъм Хикмет""","400142","11","2,95","","","","","","","","","","","","","9","2,77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВАРНА","ПРОВАДИЯ","ГР.ПРОВАДИЯ","Средно училище ""Димитър Благоев""","400148","44","3,91","","","4","3,77","","","","","","","","","","","","","","","","","","","13","4,49","","","","","26","3,78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВАРНА","ПРОВАДИЯ","ГР.ПРОВАДИЯ","Професионална гимназия по хотелиерство ресторантьорство и туризъм ""Цар Симеон Велики""","400149","36","2,4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","2,79","",""
"ВАРНА","ПРОВАДИЯ","ГР.ПРОВАДИЯ","Професионална гимназия по селско стопанство ""Земя""","400150","39","2,46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","2,77","19","4,17"
"ВАРНА","СУВОРОВО","ГР.СУВОРОВО","Средно училище ""Никола Йонков Вапцаров""","400163","16","3,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","4,11","",""
"ВАРНА","СУВОРОВО","ГР.СУВОРОВО","Професионална гимназия по селско стопанство ""Свети Георги Победоносец""","400166","15","2,76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","4,44","",""
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Профилирана Хуманитарна гимназия "" Свети свети Кирил и Методий""","300121","8","3,45","","","","","","","","","","","7","3,4","","","","","","","","","","","","","","","","","1","4,87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Природо-математическа гимназия ""Васил Друмев""","300122","148","4,89","33","4,97","","","","","11","4,38","1","6","","","2","5,36","8","4,16","10","3,99","","","","","","","","","","","77","4,93","","","","","","","","","","","6","3,1","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Профилирана езикова гимназия ""Проф. д-р Асен Златаров""","300123","120","4,94","","","16","4,9","","","4","4,32","","","1","6","","","","","3","3,42","","","","","","","","","31","5,64","36","5,21","","","","","","","","","","","19","4,57","","","","","9","5,34","","","1","5,31","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Средно училище ""Емилиян Станев""","300124","54","4,25","","","","","","","","","","","","","","","6","4,37","1","2","9","4,57","7","3,69","","","","","","","30","4,77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Средно училище ""Вела Благоева""","300125","22","3,42","","","","","","","2","4,28","","","14","4,02","","","","","","","","","","","","","","","","","6","4,46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Професионална гимназия по строителство архитектура и геодезия ""Ангел Попов""","300128","77","4,07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","4,29","6","4,79"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Старопрестолна професионална гимназия по икономика","300129","50","3,96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","4,81"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Професионална гимназия по електроника ""Александър Степанович Попов""","300130","27","3,11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","3,83","10","5,35"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Професионална гимназия по моден дизайн","300131","12","2,91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","4,37","6","5,16"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Професионална гимназия по туризъм ""Д-р Васил Берон""","300132","85","3,93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","3,92","1","4,41"
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Частна профилирана гимназия ""АК - Аркус"" ЕООД","300141","39","4,95","3","4,76","","","","","","","","","","","","","1","3,05","1","3,07","","","","","","","","","","","34","5,16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ВЕЛИКО ТЪРНОВО","ГР.ВЕЛИКО ТЪРНОВО","Спортно училище ""Георги Живков""","300143","40","3,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","4,58","",""
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Средно училище ""Георги Измирлиев""","300216","47","4,18","","","","","","","34","3,89","","","","","","","","","","","","","","","","","","","","","13","4,68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Средно училище ""Вичо Грънчаров""","300217","23","4,12","","","","","","","","","","","","","13","3,49","","","","","","","","","","","","","","","10","4,57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Професионална техническа гимназия ""Васил Левски""","300218","12","2,54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","3,06","",""
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","300219","74","3,55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","3,54","65","4,59"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Професионална гимназия по хранителни технологии ""Проф.д-р Асен Златаров""","300220","28","2,27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","3,83","20","5"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","300221","55","3,09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","3,8","24","5,46"
"ВЕЛИКО ТЪРНОВО","ГОРНА ОРЯХОВИЦА","ГР.ГОРНА ОРЯХОВИЦА","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""","300222","16","2,73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","3,01","",""
"ВЕЛИКО ТЪРНОВО","ЕЛЕНА","ГР.ЕЛЕНА","Средно училище ""Иван Николов Момчилов""","300305","42","3,29","4","3,21","4","3,87","","","2","3,6","","","","","","","","","5","3,72","","","","","","","","","","","5","5,15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","2,67","",""
"ВЕЛИКО ТЪРНОВО","ЗЛАТАРИЦА","ГР.ЗЛАТАРИЦА","Средно училище ""Св. св. Кирил и Методий""","300404","12","2,45","","","","","","","12","3,01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ЗЛАТАРИЦА","ГР.ЗЛАТАРИЦА","Професионална гимназия по механизация на селското стопанство ""Никола Златарски""","300405","9","2,34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3,17","",""
"ВЕЛИКО ТЪРНОВО","ЛЯСКОВЕЦ","ГР.ЛЯСКОВЕЦ","Средно училище ""Максим Райкович""","300507","22","3","","","","","","","8","3,6","","","","","","","","","2","2,93","","","","","","","","","","","1","5,26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","4,62","",""
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.ПАВЛИКЕНИ","Средно училище ""Бачо Киро""","300618","31","3,92","","","3","4,32","","","20","4,04","","","","","","","","","","","","","","","","","","","","","8","4,87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.ПАВЛИКЕНИ","Професионална гимназия по аграрни технологии ""Цанко Церковски""","300619","41","3,34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","4,22","",""
"ВЕЛИКО ТЪРНОВО","ПОЛСКИ ТРЪМБЕШ","ГР.ПОЛСКИ ТРЪМБЕШ","Средно училище ""Цанко Церковски""","300711","43","2,83","","","","","","","22","3,32","2","3,03","","","6","3,38","","","","","","","","","1","3,53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2,78","",""
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Средно училище ""Цветан Радославов""","300814","18","3,76","","","","","","","","","5","3,06","","","7","2,89","","","","","","","","","","","","","","","5","4,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Средно училище ""Николай Катранов""","300815","52","4,45","","","","","","","","","","","","","14","4,29","","","","","","","","","","","","","10","5,08","26","4,74","","","","","","","","","","","2","4,36","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Средно училище ""Димитър Благоев""","300816","65","3,78","","","","","","","1","5,01","","","","","","","","","8","3,02","","","","","13","3,2","","","","","43","3,69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Професионална държавна търговска гимназия ""Димитър Хадживасилев""","300817","28","3,67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","5,65"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","Свищовска професионална гимназия ""Алеко Константинов""","300819","26","2,82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4,42","20","4,53"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","ГР.СТРАЖИЦА","Средно училище ""Ангел Каралийчев""","300911","28","2,74","","","1","2","","","10","2,57","","","","","","","","","1","2","","","","","6","3,41","","","","","8","4,52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","ГР.СТРАЖИЦА","Професионална гимназия по транспорт ""Васил Друмев""","300912","14","3,01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4,07","9","5,25"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.КАМЕН","Средно училище ""Св. Климент Охридски""","300916","12","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","4,14","",""
"ВЕЛИКО ТЪРНОВО","СУХИНДОЛ","ГР.СУХИНДОЛ","Средно училище ""Св. Климент Охридски""","300991","8","2,27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3,85","",""
"ВИДИН","БЕЛОГРАДЧИК","ГР.БЕЛОГРАДЧИК","СУ ""Христо Ботев""","500201","14","2,67","","","","","","","","","","","10","3,22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5,08","",""
"ВИДИН","БРЕГОВО","ГР.БРЕГОВО","СУ ""Св. Св. Кирил и Методий""","500401","8","2,48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","3,11","",""
"ВИДИН","ВИДИН","ГР.ВИДИН","ППМГ ""Екзарх Антим I""","500102","91","4,47","24","4,21","8","4,85","","","5","3,91","","","","","19","3,33","1","2","","","","","","","","","","","","","35","5,07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВИДИН","ВИДИН","ГР.ВИДИН","ПТГ ""Васил Левски""","500108","13","2,25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","3,69","",""
"ВИДИН","ВИДИН","ГР.ВИДИН","ПГТ ""Михалаки Георгиев""","500110","27","3,09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","3,63","13","5,3"
"ВИДИН","ВИДИН","ГР.ВИДИН","ПГ ""Проф. д-р Асен Златаров""","502035","54","3,92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","3,54","22","5,64"
"ВИДИН","ВИДИН","ГР.ВИДИН","СУ ""Цар Симеон Велики""","503132","58","3,91","","","2","4,76","","","13","3,93","","","","","12","2,81","","","","","","","","","","","","","","","30","4","","","","","","","","","1","5,25","","","","","","","","","","","","","","","","","","","","","","","",""
"ВИДИН","ВИДИН","ГР.ВИДИН","СУ ""Св. св. Кирил и Методий""","503241","15","3,7","","","","","","","6","3,49","","","6","4,69","","","","","","","3","3,83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВИДИН","ВИДИН","ГР.ВИДИН","СУ ""Петко Рачов Славейков""","503242","20","3,13","","","","","","","9","3,13","","","","","","","","","","","","","","","2","2,75","","","","","9","3,46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВИДИН","ВИДИН","ГР.ВИДИН","ГПЧЕ ""Йордан Радичков""","503322","98","4,57","3","4,37","","","","","","","","","1","4,73","","","","","2","2","","","","","","","","","","","88","4,56","","","2","4,63","","","","","2","5,22","","","","","","","","","","","","","","","","","","","","","","","",""
"ВИДИН","ВИДИН","ГР.ДУНАВЦИ","ПГСС ""Г. М. Димитров""","500117","11","2,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","3,04","",""
"ВИДИН","ДИМОВО","С.АРЧАР","СУ ""Христо Ботев""","500603","9","2,48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","4,6","",""
"ВИДИН","КУЛА","ГР.КУЛА","СУ ""Васил Левски""","500701","6","2,84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","2,66","",""
"ВИДИН","НОВО СЕЛО","С.НОВО СЕЛО","СУ ""Св. св. Кирил и Методий""","500901","2","2,63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","",""
"ВИДИН","РУЖИНЦИ","С.ДРЕНОВЕЦ","СУ ""Никола Йонков Вапцаров""","501003","8","3,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3,26","",""
"ВИДИН","РУЖИНЦИ","С.РУЖИНЦИ","СУ ""Никола Й. Вапцаров""","501010","13","2,32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","2,7","",""
"ВРАЦА","БОРОВАН","С.БОРОВАН","Професионална гимназия по транспорт ""Коста Петров""","603004","26","2,45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","2,95","",""
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","Професионална гимназия по облекло ""Елисавета Багряна""","600221","27","2,42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","4,65","",""
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","Средно училище ""Васил Левски""","603024","44","3,97","","","3","4,57","","","21","3,95","","","","","","","","","9","2,25","","","","","","","11","5,49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","603026","87","2,77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","4,87"
"ВРАЦА","БЯЛА СЛАТИНА","С.ГАБАРЕ","Средно училище ""Христо Ботев""","602022","13","2,83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","3,1","",""
"ВРАЦА","БЯЛА СЛАТИНА","С.ГАЛИЧЕ","Средно училище ""Христо Ботев""","603025","13","3,05","","","","","","","12","3,23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","Профилирана езикова гимназия ""Йоан Екзарх""","600061","83","4,45","","","7","4,59","","","4","4,49","","","","","1","3,09","","","2","4,19","","","","","","","","","","","43","4,42","","","3","4,57","","","","","","","","","","","1","5,92","","","","","","","","","","","","","","","","","22","5,26"
