Област,Община,Населено място,Училище,Код по Админ,БЕЛ,,МАТ,
,,,,,Явили се,Ср. успех в точки,Явили се,Ср. успех в точки
БУРГАС,НЕСЕБЪР,С.КОШАРИЦА,"ОСНОВНО УЧИЛИЩЕ ""СВЕТИ ИВАН РИЛСКИ""",200603,7,60.14,7,66.79
БУРГАС,НЕСЕБЪР,С.ОРИЗАРЕ,"Основно училище ""Георги Стойков Раковски""",200604,9,24.67,9,21
БУРГАС,НЕСЕБЪР,С.РАВДА,"Основно училище "" Св. св. Кирил и Методий """,200605,33,82.21,33,69.74
БУРГАС,НЕСЕБЪР,С.СВЕТИ ВЛАС,"Основно училище ""Свети свети Кирил и Методий""",200606,56,81.98,56,73.88
БУРГАС,НЕСЕБЪР,С.ТЪНКОВО,"Основно училище "" Васил Левски """,200607,11,43.45,12,32.42
БУРГАС,ПОМОРИЕ,ГР.КАБЛЕШКОВО,"ОУ ""Св. П. Хилендарски""",200702,19,47.74,18,33.61
БУРГАС,ПОМОРИЕ,ГР.ПОМОРИЕ,"Основно училище ""Христо Ботев""",200703,19,42.26,19,41.34
БУРГАС,ПОМОРИЕ,ГР.ПОМОРИЕ,"Средно училище ""Иван Вазов""",200711,68,77.24,67,67.66
БУРГАС,ПОМОРИЕ,С.АХЕЛОЙ,"Основно училище "" Христо Ботев """,200704,33,82.91,32,69.61
БУРГАС,ПОМОРИЕ,С.БАТА,"Основно училище ""Христо Ботев """,200705,11,52.09,12,60.83
БУРГАС,ПОМОРИЕ,С.ГОРИЦА,"Основно училище ""Христо Ботев""",200706,5,57.4,5,70
БУРГАС,ПОМОРИЕ,С.ГЪЛЪБЕЦ,"Основно училище ""Георги Стойков Раковски""",200707,13,56.08,13,32.31
БУРГАС,ПОМОРИЕ,С.ДЪБНИК,"Основно училище "" Елин Пелин""",200708,6,75.5,6,79.67
БУРГАС,ПОМОРИЕ,С.ПОРОЙ,"Основно училище ""Свети свети Кирил и Методий""",200709,2,85,2,88.75
БУРГАС,ПОМОРИЕ,С.СТРАЦИН,"Основно училище ""Отец Паисий""",200710,11,47.27,11,58.73
БУРГАС,ПРИМОРСКО,ГР.ПРИМОРСКО,"Средно училище ""Никола Йонков Вапцаров""",200803,30,71.97,30,59.63
БУРГАС,ПРИМОРСКО,С.НОВО ПАНИЧАРЕВО,"Основно Училище ""Христо Ботев""",200801,8,34,8,29.75
БУРГАС,РУЕН,С.ВРЕСОВО,"Основно училище ""Д-р Петър Берон""",200907,16,41.19,16,37.91
БУРГАС,РУЕН,С.ДОБРА ПОЛЯНА,"Основно училище "" Св. Св. Кирил и Методий""",200908,15,60.6,15,58.43
БУРГАС,РУЕН,С.ДОБРОМИР,"Основно училище "" Алеко Константинов""",200909,1,13,1,33
БУРГАС,РУЕН,С.ДЪСКОТНА,"Основно училище ""Климент Охридски""",200910,12,50.5,12,37.92
БУРГАС,РУЕН,С.ЗАЙЧАР,"Основно училище ""Никола Йонков Вапцаров""",200912,15,37.53,15,44.7
БУРГАС,РУЕН,С.ЛЮЛЯКОВО,"Средно Училище "" Отец Паисий""",200931,21,56.67,21,65.43
БУРГАС,РУЕН,С.ПЛАНИНИЦА,"Основно училище ""Никола Йонков Вапцаров""",200915,9,57,9,68.5
