"﻿Област","Община","Населено място","Код по Админ","Училище","Явили се БЕЛ","Ср. успех в точки БЕЛ","Явили се МАТ","Ср. успех в точки МАТ"
"ВЕЛИКО ТЪРНОВО","ЗЛАТАРИЦА","С.СРЕДНО СЕЛО","300 403","Основно Училище ""Васил Левски""","2","40,5","2","36"
"ВЕЛИКО ТЪРНОВО","ЛЯСКОВЕЦ","ГР.ЛЯСКОВЕЦ","300 501","Начално училище ""Цани Гинчев""","36","74,75","37","57,32"
"ВЕЛИКО ТЪРНОВО","ЛЯСКОВЕЦ","ГР.ЛЯСКОВЕЦ","300 507","Средно училище  ""Максим Райкович""","44","72,55","44","55,91"
"ВЕЛИКО ТЪРНОВО","ЛЯСКОВЕЦ","С.ДЖУЛЮНИЦА","300 506","Обединено училище ""Петко Рачев Славейков""","13","56,23","12","44,17"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.БЯЛА ЧЕРКВА","300 604","Основно училище ""Бачо Киро""","6","49,33","6","29,17"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.ПАВЛИКЕНИ","300 602","Основно училище  ""Св. Климент Охридски""","34","77,21","34","59,21"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","ГР.ПАВЛИКЕНИ","300 618","Средно училище ""Бачо Киро""","57","71,86","59","51,66"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","С.БАТАК","300 612","Основно училище ""Св.Св.Кирил и Методий""","8","36,63","8","31,25"
"ВЕЛИКО ТЪРНОВО","ПАВЛИКЕНИ","С.ВЪРБОВКА","300 607","Основно училище ""Филип Тотю""","14","43,14","14","32,64"
"ВЕЛИКО ТЪРНОВО","ПОЛСКИ ТРЪМБЕШ","ГР.ПОЛСКИ ТРЪМБЕШ","300 711","Средно училище  ""Цанко Церковски""","53","52,96","52","40,56"
"ВЕЛИКО ТЪРНОВО","ПОЛСКИ ТРЪМБЕШ","С.ПЕТКО КАРАВЕЛОВО","300 708","Основно училище ""Васил Левски""","12","40,25","12","41,08"
"ВЕЛИКО ТЪРНОВО","ПОЛСКИ ТРЪМБЕШ","С.РАДАНОВО","300 704","Основно училище  ""Св.Св.Кирил и Методий""","16","42,5","16","30,88"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","300 801","Основно училище  ""Филип Сакелариевич""","8","56,13","8","41,25"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","300 814","Средно училище  ""Цветан Радославов""","34","78,44","34","65,09"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","300 815","Средно училище  ""Николай Катранов""","68","88,24","68","67,41"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","ГР.СВИЩОВ","300 816","Средно училище ""Димитър Благоев""","65","79,4","65","69,72"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.АЛЕКОВО","300 803","Основно училище ""Христо Ботев""","8","31,63","8","22,38"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.МОРАВА","300 808","Основно училище ""Свети свети Кирил и Методий""","3","43,67","3","40,33"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.ОВЧА МОГИЛА","300 809","Основно училище ""Св. Св. Кирил и Методий""","8","36,63","9","33"
"ВЕЛИКО ТЪРНОВО","СВИЩОВ","С.ОРЕШ","300 810","Основно училище ""Христо Ботев""","7","81,43","7","70"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","ГР.СТРАЖИЦА","300 911","Средно училище ""Ангел Каралийчев""","45","65,04","44","47,73"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.АСЕНОВО","300 904","Основно училище ""Свети свети Кирил и Методий""","10","67,7","10","61,8"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.ВИНОГРАД","300 905","Основно училище ""Свети Климент Охридски""","4","44,5","4","39,25"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.КАМЕН","300 916","Средно училище ""Св. Климент Охридски""","27","51,52","27","37,67"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.КЕСАРЕВО","300 909","Основно училище ""Николай Райнов""","9","54,11","9","40,56"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.СУШИЦА","300 908","Начално училище ""Отец Паисий""","4","36,25","4","31,25"
"ВЕЛИКО ТЪРНОВО","СТРАЖИЦА","С.ЦАРСКИ ИЗВОР","300 901","Начално училище ""Иван Вазов""","3","34,33","3","30,67"
"ВЕЛИКО ТЪРНОВО","СУХИНДОЛ","ГР.СУХИНДОЛ","300 991","Средно  училище ""Св. Климент Охридски""","14","57,21","13","55,92"
"ВИДИН","БЕЛОГРАДЧИК","ГР.БЕЛОГРАДЧИК","500 203","НУ ""Васил Левски""","34","49,5","31","39,48"
"ВИДИН","БОЙНИЦА","С.БОЙНИЦА","500 301","ОУ ""Васил Левски""","11","34,27","11","22,82"
"ВИДИН","БРЕГОВО","ГР.БРЕГОВО","500 401","СУ ""Св. Св. Кирил и Методий""","8","65,75","8","62,38"
"ВИДИН","ВИДИН","ГР.ВИДИН","500 104","ОУ ""Любен Каравелов""","80","80,88","78","59,95"
"ВИДИН","ВИДИН","ГР.ВИДИН","500 111","ОУ ""Епископ Софроний Врачански""","18","61,17","18","64,94"
"ВИДИН","ВИДИН","ГР.ВИДИН","500 112","ОУ ""Отец Паисий""","7","59,71","7","32,71"
"ВИДИН","ВИДИН","ГР.ВИДИН","500 113","ОУ ""Св. Климент Охридски""","4","50","4","38,75"
"ВИДИН","ВИДИН","ГР.ВИДИН","503 312","ОУ ""Иван Вазов""","113","83,45","113","69,16"
"ВИДИН","ВИДИН","ГР.ВИДИН","503 132","СУ ""Цар Симеон Велики""","93","85,74","93","70,96"
"ВИДИН","ВИДИН","ГР.ВИДИН","503 241","СУ ""Св. св. Кирил и Методий""","33","70,88","33","55,45"
"ВИДИН","ВИДИН","ГР.ВИДИН","503 242","СУ ""Петко Рачов Славейков""","32","61,47","33","49,73"
"ВИДИН","ВИДИН","ГР.ДУНАВЦИ","503 311","ОУ ""Христо Ботев ""","14","44,29","14","36,86"
"ВИДИН","ГРАМАДА","ГР.ГРАМАДА","500 501","СУ ""Христо Ботев""","6","52,67","6","29,33"
"ВИДИН","ДИМОВО","ГР.ДИМОВО","500 103","СУ ""Св. св. Кирил и Методий""","13","48,46","13","35,92"
"ВИДИН","ДИМОВО","С.АРЧАР","500 603","СУ ""Христо Ботев""","32","43,91","32","31,88"
"ВИДИН","ДИМОВО","С.ОРЕШЕЦ (ГАРА ОРЕШЕЦ)","500 604","ОУ ""Димитър Благоев""","8","55","8","62"
"ВИДИН","КУЛА","ГР.КУЛА","500 701","СУ ""Васил Левски""","22","61,36","22","44,23"
"ВИДИН","МАКРЕШ","С.РАКОВИЦА","500 802","ОУ ""Христо Ботев""","1","48","1","41"
"ВИДИН","НОВО СЕЛО","С.НОВО СЕЛО","500 901","СУ ""Св. св. Кирил и Методий""","6","32,67","6","36,83"
"ВИДИН","РУЖИНЦИ","С.БЕЛО ПОЛЕ","501 004","ОУ  ""Св. св. Кирил и Методий""","4","17,75","4","17,5"
"ВИДИН","РУЖИНЦИ","С.ДРЕНОВЕЦ","501 003","СУ ""Никола Йонков Вапцаров""","10","44,1","10","32"
"ВИДИН","РУЖИНЦИ","С.РУЖИНЦИ","501 010","СУ  ""Никола Й. Вапцаров""","12","42,08","12","31,5"
"ВИДИН","ЧУПРЕНЕ","С.ГОРНИ ЛОМ","501 102","ОУ ""Христо Ботев""","12","40,5","12","28,58"
"ВИДИН","ЧУПРЕНЕ","С.ЧУПРЕНЕ","501 101","ОУ  ""Акад. Михаил Димитров""","7","11,57","7","12,29"
"ВРАЦА","БОРОВАН","С.БОРОВАН","602 003","Основно училище  ""Отец Паисий""","18","65,78","18","40,33"
"ВРАЦА","БОРОВАН","С.ДОБРОЛЕВО","602 001","Основно училище  "" Свети свети Кирил и Методий""","6","55,83","6","32,33"
"ВРАЦА","БОРОВАН","С.МАЛОРАД","602 002","Основно училище ""Свети свети Кирил и Методий""","23","63,48","22","48,64"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","601 007","Начално училище ""Христо Ботев""","59","82,51","59","61,17"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","601 008","Начално училище ""Цани Гинчев""","27","52,74","24","39,96"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","601 009","Начално училище ""Христо Смирненски""","18","40,78","18","32,22"
"ВРАЦА","БЯЛА СЛАТИНА","ГР.БЯЛА СЛАТИНА","603 024","Средно училище ""Васил Левски""","21","72,52","21","54,71"
"ВРАЦА","БЯЛА СЛАТИНА","С.ГАБАРЕ","602 022","Средно училище  ""Христо Ботев""","13","21,08","13","26,54"
"ВРАЦА","БЯЛА СЛАТИНА","С.ГАЛИЧЕ","603 025","Средно училище ""Христо Ботев""","9","68,33","9","47,44"
"ВРАЦА","БЯЛА СЛАТИНА","С.ПОПИЦА","602 018","Основно училище  ""Св.св.Кирил и Методий""","6","61,33","6","45,5"
"ВРАЦА","БЯЛА СЛАТИНА","С.ТЪРНАВА","601 013","Основно училище  ""Христо Ботев""","12","67,08","12","58,42"
"ВРАЦА","БЯЛА СЛАТИНА","С.ТЪРНАК","601 014","Основно училище  ""Георги Стойков Раковски""","14","36,57","14","32,14"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","601 031","Начално училище ""Иванчо Младенов""","88","87,86","88","72,83"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","601 035","Начално училище ""Иван Вазов""","85","84,87","83","69,89"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","601 037","Начално училище ""Свети Софроний Врачански""","84","82,64","84","67,7"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","602 041","Основно училище ""Васил Левски""","38","61,63","38","48,42"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","602 042","Основно училище ""Свeти свети Кирил и Методий""","14","66","15","49,73"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","603 057","Средно училище ""Отец Паисий""","16","59,06","16","41,44"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","603 058","Средно училище ""Христо Ботев""","43","88,93","42","76,52"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","603 059","Средно училище  ""Васил Кънчов""","16","83,56","16","75,69"
"ВРАЦА","ВРАЦА","ГР.ВРАЦА","603 070","Средно училище  ""Никола Войводов""","83","78,93","83","60,36"
"ВРАЦА","ВРАЦА","С.БАНИЦА","602 052","Обединено училище ""Христо Ботев""","13","60,38","12","45,08"
"ВРАЦА","ВРАЦА","С.ДЕВЕНЕ","602 045","Обединено училище  ""Свети свети Кирил и Методий""","16","52,69","16","29,44"
"ВРАЦА","ВРАЦА","С.ТИШЕВИЦА","601 040","Обединено училище  ""Св.Климент Охридски""","8","35,75","8","44,75"
"ВРАЦА","КОЗЛОДУЙ","ГР.КОЗЛОДУЙ","601 071","Начално училище ""Васил Левски""","13","51,46","14","47,71"
"ВРАЦА","КОЗЛОДУЙ","ГР.КОЗЛОДУЙ","603 076","Средно училище ""Христо Ботев""","30","71,47","30","57,7"
"ВРАЦА","КОЗЛОДУЙ","ГР.КОЗЛОДУЙ","603 077","Средно училище ""Св. св. Кирил и Методий""","82","76,46","83","57,01"
"ВРАЦА","КОЗЛОДУЙ","С.БУТАН","602 073","Средно училище ""Св. Св. Кирил и Методий""","37","64,08","38","43,68"
"ВРАЦА","КОЗЛОДУЙ","С.ГЛОЖЕНЕ","602 075","Основно училище ""Христо Ботев""","19","44,63","19","33,95"
"ВРАЦА","КОЗЛОДУЙ","С.ХЪРЛЕЦ","602 074","Основно училище ""Васил Евстатиев Априлов""","10","41","10","53,4"
"ВРАЦА","КРИВОДОЛ","ГР.КРИВОДОЛ","603 087","Средно училище ""Св. св. Кирил и Методий""","24","53,63","23","38,3"
"ВРАЦА","КРИВОДОЛ","С.КРАВОДЕР","602 083","Обединено училище  ""Св. св. Кирил и Методий""","16","47,38","16","36,25"
"ВРАЦА","КРИВОДОЛ","С.ЛЕСУРА","602 084","Основно училище ""Васил Левски""","9","36,89","9","32,44"
"ВРАЦА","КРИВОДОЛ","С.РАКЕВО","602 086","Основно училище ""Васил Левски""","9","55,56","10","31,3"
"ВРАЦА","МЕЗДРА","ГР.МЕЗДРА","602 092","Основно училище ""Свети Свети Кирил и Методий""","42","73,83","43","55,07"
"ВРАЦА","МЕЗДРА","ГР.МЕЗДРА","602 093","Основно училище ""Христо Ботев""","67","78,04","67","65,03"
"ВРАЦА","МЕЗДРА","ГР.МЕЗДРА","603 098","Средно училище ""Иван Вазов""","24","76,38","24","65,25"
"ВРАЦА","МЕЗДРА","С.ЗВЕРИНО","603 099","Средно училище  ""Свети Климент Охридски""","16","68,75","16","52,5"
"ВРАЦА","МЕЗДРА","С.МОРАВИЦА","602 094","Основно училище ""Васил Кънчов""","1","30","1","48"
"ВРАЦА","МИЗИЯ","ГР.МИЗИЯ","602 106","Основно училище ""Цанко Церкoвски""","7","75,14","7","70,71"
"ВРАЦА","МИЗИЯ","С.КРУШОВИЦА","602 104","Основно училище  ""Христо Ботев""","7","65","7","45,29"
"ВРАЦА","МИЗИЯ","С.СОФРОНИЕВО","602 107","Основно училище ""Отец Паисий""","10","57,8","10","49,3"
"ВРАЦА","ОРЯХОВО","ГР.ОРЯХОВО","601 110","Начално училище  ""Св.Св.Кирил и Методий""","28","71,54","28","53,11"
"ВРАЦА","ОРЯХОВО","С.ОСТРОВ","601 113","Основно училище ""Христо Ботев""","15","66,6","15","48"
"ВРАЦА","ОРЯХОВО","С.СЕЛАНОВЦИ","602 115","Основно училище ""Никола Йонков Вапцаров""","18","81,22","18","59"
"ВРАЦА","РОМАН","ГР.РОМАН","601 119","Начално училище ""Петко Рачов Славейков""","40","57,45","40","47,08"
"ВРАЦА","РОМАН","С.КАМЕНО ПОЛЕ","602 121","Основно училище  ""Свети Свети Кирил и Методий""","1","56","1","58"
"ВРАЦА","ХАЙРЕДИН","С.МИХАЙЛОВО","602 128","Основно училище ""Горан Червеняшки""","15","59,67","12","40"
"ВРАЦА","ХАЙРЕДИН","С.ХАЙРЕДИН","603 130","Средно училище  ""Васил Воденичарски""","8","63,13","8","51"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 101","Начално училище ""Васил Левски""","18","74,89","18","59,94"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 102","Основно училище ""Ран Босилек""","74","84,03","74","77,16"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 103","Основно училище ""Неофит Рилски""","67","84,36","67","69,06"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 106","VI Основно училище ""Иван Вазов""","18","62,06","18","48,11"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 108","Основно училище""Свети Свети Кирил и Методий""","87","86,71","87","77,07"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 112","Основно училище ""Христо Ботев""","46","66,7","46","52,96"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 113","Средно училище ""Отец Паисий""","57","78,21","56","65,95"
"ГАБРОВО","ГАБРОВО","ГР.ГАБРОВО","700 114","Средно училище  ""Райчо Каролев""","76","84,2","76","70,97"
"ГАБРОВО","ДРЯНОВО","ГР.ДРЯНОВО","700 204","Средно училище ""Максим Райкович""","39","71,03","39","57,41"
"ГАБРОВО","СЕВЛИЕВО","ГР.СЕВЛИЕВО","700 307","Основно училище ""Христо Ботев""","21","43,57","21","32,43"
"ГАБРОВО","СЕВЛИЕВО","ГР.СЕВЛИЕВО","700 308","Основно училище ""Стефан Пешев""","97","76,73","97","64,58"
"ГАБРОВО","СЕВЛИЕВО","ГР.СЕВЛИЕВО","700 318","Средно училище ""Васил Левски""","94","72,11","92","59,12"
"ГАБРОВО","СЕВЛИЕВО","С.ГРАДНИЦА","700 312","Основно училище ""Свети Свети Кирил и Методий""","11","58,73","11","57,73"
"ГАБРОВО","СЕВЛИЕВО","С.ДОБРОМИРКА","700 310","Основно училище ""Христо Ботев""","3","38,67","3","33"
"ГАБРОВО","СЕВЛИЕВО","С.ДУШЕВО","700 311","Основно училище  ""Св. Св. Кирил и Методий""","15","55,67","15","65,73"
"ГАБРОВО","СЕВЛИЕВО","С.КРАМОЛИН","700 314","Основно училище""Свети Солунски братя""","9","61,78","9","50,22"
"ГАБРОВО","СЕВЛИЕВО","С.ПЕТКО СЛАВЕЙКОВ","700 315","Основно училище ""Св.Св.Кирил и Методий""","6","37,67","5","31,6"
"ГАБРОВО","СЕВЛИЕВО","С.ШУМАТА","700 317","Основно училище""Васил Левски""","15","65,4","15","48,4"
"ГАБРОВО","ТРЯВНА","ГР.ПЛАЧКОВЦИ","700 402","Основно училище ""Васил Левски""","8","80","8","64,75"
"ГАБРОВО","ТРЯВНА","ГР.ТРЯВНА","700 401","Основно училище  ""Професор Пенчо Николов Райков""","10","82,1","10","58"
"ГАБРОВО","ТРЯВНА","ГР.ТРЯВНА","700 403","Средно училище  ""Петко Рачев Славейков""","37","83,19","37","69,11"
"ДОБРИЧ","БАЛЧИК","ГР.БАЛЧИК","800 059","Основно училище  ""Свети Свети Кирил и Методий""","20","76,65","20","64,5"
"ДОБРИЧ","БАЛЧИК","ГР.БАЛЧИК","800 060","Основно училище Антим","51","74,14","51","60,88"
"ДОБРИЧ","БАЛЧИК","ГР.БАЛЧИК","800 061","Средно училище  ""Христо Ботев""","9","38,89","9","32,33"
"ДОБРИЧ","БАЛЧИК","С.ОБРОЧИЩЕ","800 065","Средно  училище  ""Христо Смирненски""","22","62","22","41,14"
"ДОБРИЧ","БАЛЧИК","С.СЕНОКОС","800 057","Основно училище""Георги Раковски""","13","57,38","12","51,42"
"ДОБРИЧ","БАЛЧИК","С.СОКОЛОВО","800 056","Основно училище ""Васил Левски""","6","48,5","5","50,6"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","ГР.ГЕНЕРАЛ ТОШЕВО","800 073","Основно училище  ""Христо Смирненски""","18","58,33","18","39,83"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","ГР.ГЕНЕРАЛ ТОШЕВО","800 074","Средно училищe  ""Никола Йонков Вапцаров""","36","82,53","35","68"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","С.КАРДАМ","800 072","Основно училище  ""Христо Ботев""","9","26,89","9","26,89"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","С.КРАСЕН","800 071","Основно училище ""Йордан Йовков""","2","63,5","2","51"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","С.ПРЕСЕЛЕНЦИ","800 069","Основно училище ""Васил Левски""","5","26,4","5","28,8"
"ДОБРИЧ","ГЕНЕРАЛ ТОШЕВО","С.СПАСОВО","800 068","Основно училище ""Йордан Йовков""","9","36,33","9","31,11"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 003","Обединено училище ""Йордан Йовков""","10","21","10","23,7"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 004","Основно училище  ""Никола Йонков Вапцаров""","14","52,36","14","42,57"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 007","Основно училище ""Панайот Волов""","21","37,95","22","38,82"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 008","Основно училище ""Стефан Караджа""","20","72,25","20","55"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 009","Основно училище ""Хан Аспарух""","44","89,18","44","76,89"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 010","Основно училище  ""Христо Смирненски""","38","48,13","38","37,37"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 011","Основно училище ""Христо Ботев""","61","83,9","60","69,48"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 013","Средно училище  ""Димитър Талев""","58","78,6","58","60,71"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 015","Средно училище  ""Свети Климент Охридски""","106","84,84","106","64,43"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 016","Средно училище ""Любен Каравелов""","42","83,52","42","72,55"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 017","Средно училище ""Петко Рачов Славейков""","121","88,2","121","75,07"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 018","Средно училище ""Свети свети Кирил и Методий""","91","87,04","91","70,98"
"ДОБРИЧ","ГР.ДОБРИЧ","ГР.ДОБРИЧ","800 326","Частно средно училище с профилирана подготовка  по чужди езици и математика ""Леонардо да Винчи""","1","95","1","89"
"ДОБРИЧ","ДОБРИЧ","С.БАТОВО","800 045","Основно училище ""Отец Паисий""","14","71,21","14","44,93"
"ДОБРИЧ","ДОБРИЧ","С.БОЖУРОВО","800 038","Основно училище ""Васил Левски""","3","59,67","3","34,33"
"ДОБРИЧ","ДОБРИЧ","С.ВЕДРИНА","800 049","Основно училище ""Свети Свети Кирил и Методий""","4","50,25","4","28,5"
"ДОБРИЧ","ДОБРИЧ","С.ДОНЧЕВО","800 050","Основно училище ""Св. св. Кирил и Методий""","2","65,5","3","44,67"
"ДОБРИЧ","ДОБРИЧ","С.ЖИТНИЦА","800 052","Основно училище ""Стефан Караджа""","6","46","7","38,43"
"ДОБРИЧ","ДОБРИЧ","С.КАРАПЕЛИТ","800 043","Средно училище  ""Никола Вапцаров""","12","36,83","13","44,69"
"ДОБРИЧ","ДОБРИЧ","С.ЛОВЧАНЦИ","800 044","Основно училище "" Неофит Рилски ""","3","60","3","44,67"
"ДОБРИЧ","ДОБРИЧ","С.ОВЧАРОВО","800 046","Основно училище ""Отец Паисий""","5","58,4","5","53,2"
"ДОБРИЧ","ДОБРИЧ","С.ПОБЕДА","800 042","Обединено училище""Добри Войников""","17","31,29","16","39"
"ДОБРИЧ","ДОБРИЧ","С.СМОЛНИЦА","800 048","Основно училище""Климент Охридски""","2","81,5","2","67"
"ДОБРИЧ","ДОБРИЧ","С.СТЕФАНОВО","800 047","Обединено училище ""Пейо Крачолов Яворов""","3","42,33","3","31"
"ДОБРИЧ","ДОБРИЧ","С.СТОЖЕР","800 054","Основно училище""Христо Ботев""","12","44,08","12","42,42"
"ДОБРИЧ","ДОБРИЧ","С.ХИТОВО","800 039","Основно училище ""Васил Левски""","6","55,83","6","53"
"ДОБРИЧ","КАВАРНА","ГР.КАВАРНА","800 080","ОСНОВНО УЧИЛИЩЕ ""ЙОРДАН ЙОВКОВ""","48","65,35","48","53,15"
"ДОБРИЧ","КАВАРНА","ГР.КАВАРНА","800 082","Средно училище ""Стефан Караджа""","31","70,42","31","53,32"
"ДОБРИЧ","КАВАРНА","С.БЕЛГУН","800 085","Основно училище ""Свети Свети Кирил и Методий""","10","34,1","10","32,2"
"ДОБРИЧ","КРУШАРИ","С.КОРИТЕН","800 090","Основно училище ""Васил Левски""","4","47,5","4","43"
"ДОБРИЧ","КРУШАРИ","С.КРУШАРИ","800 093","Средно училище ""Христо Смирненски""","15","39,2","14","36,64"
"ДОБРИЧ","КРУШАРИ","С.ЛОЗЕНЕЦ","800 092","Основно училище""Отец Паисий""","4","30,75","3","27,33"
"ДОБРИЧ","ТЕРВЕЛ","ГР.ТЕРВЕЛ","800 094","Средно училище  "" Йордан Йовков ""","56","62,77","54","52,11"
"ДОБРИЧ","ТЕРВЕЛ","С.БЕЗМЕР","800 101","Основно училище ""Паисий Хилендарски""","10","57,6","10","51,5"
"ДОБРИЧ","ТЕРВЕЛ","С.ЗЪРНЕВО","800 103","Основно училище ""Христо Ботев""","9","49","9","47,11"
"ДОБРИЧ","ТЕРВЕЛ","С.КАБЛЕШКОВО","800 096","Начално училище ""Христо Ботев""","6","37,67","6","44,33"
"ДОБРИЧ","ТЕРВЕЛ","С.КОЛАРЦИ","800 099","Обединено училище""Д-р Петър Берон""","11","47,18","10","44,4"
"ДОБРИЧ","ТЕРВЕЛ","С.НОВА КАМЕНА","800 100","Основно училище ""Отец Паисий""","7","57,86","7","57,71"
"ДОБРИЧ","ТЕРВЕЛ","С.ОРЛЯК","800 104","Обединено училище""Васил Друмев""","10","33,2","10","32,7"
"ДОБРИЧ","ШАБЛА","ГР.ШАБЛА","800 109","Средно училище  ""Асен Златаров""","22","71,68","22","48,59"
"ДОБРИЧ","ШАБЛА","С.ДУРАНКУЛАК","800 108","Основно училище  ""Свети Климент Охридски""","4","76,75","4","56,5"
"КЪРДЖАЛИ","АРДИНО","ГР.АРДИНО","909 201","Средно училище ""Васил Левски""","31","85,35","31","74,97"
"КЪРДЖАЛИ","АРДИНО","С.БОРОВИЦА","909 205","Основно училище""Антон Семьонович Макаренко""","2","47","2","39"
"КЪРДЖАЛИ","АРДИНО","С.БЯЛ ИЗВОР","909 202","Основно училище  ""Христо Смирненски""","1","85","1","76"
"КЪРДЖАЛИ","АРДИНО","С.ГОРНО ПРАХОВО","909 206","Основно училище ""Св. Св. Кирил и Методий""","2","32","2","40"
"КЪРДЖАЛИ","АРДИНО","С.ЖЪЛТУША","909 209","Основно училище ""Отец Паисий""","5","76,6","5","63"
"КЪРДЖАЛИ","АРДИНО","С.ПАДИНА","909 211","Основно училище""Св.Св.Кирил и Методий""","1","89","1","91"
"КЪРДЖАЛИ","ДЖЕБЕЛ","ГР.ДЖЕБЕЛ","909 301","Средно училище ""Христо Ботев""","37","80,84","37","65,27"
"КЪРДЖАЛИ","ДЖЕБЕЛ","С.ПРИПЕК","909 315","Средно училище ""Паисий Хилендарски""","6","74,83","6","56,67"
"КЪРДЖАЛИ","ДЖЕБЕЛ","С.РОГОЗЧЕ","909 309","Основно училище  ""Христо Смирненски""","1","68","1","68"
"КЪРДЖАЛИ","ДЖЕБЕЛ","С.УСТРЕН","909 310","Основно училище  ""Васил Левски""","1","49","1","30"
"КЪРДЖАЛИ","КИРКОВО","С.БЕНКОВСКИ","909 402","Средно училище  ""Никола Йонков Вапцаров ""","38","72,05","38","61,5"
"КЪРДЖАЛИ","КИРКОВО","С.ДРАНГОВО","909 410","Основно училище ""Васил Левски""","5","87,4","5","80"
"КЪРДЖАЛИ","КИРКОВО","С.КИРКОВО","909 401","Средно училище ""Отец Паисий""","13","83","13","69,38"
"КЪРДЖАЛИ","КИРКОВО","С.СТАРОВО","909 414","Оcновно училище "" Устрем""","5","48,6","5","52"
"КЪРДЖАЛИ","КИРКОВО","С.ТИХОМИР","909 415","Основно училище ""Васил Левски""","9","49,56","9","40,44"
"КЪРДЖАЛИ","КИРКОВО","С.ФОТИНОВО","909 417","Основно училище ""Христо Смирненски""","8","72,5","8","66,63"
"КЪРДЖАЛИ","КИРКОВО","С.ЧАКАЛАРОВО","909 416","Основно училище ""Иван Вазов""","2","66,5","2","56,5"
"КЪРДЖАЛИ","КИРКОВО","С.ЧОРБАДЖИЙСКО","909 403","Средно училище "" Христо Ботев ""","25","49,68","25","45,04"
"КЪРДЖАЛИ","КРУМОВГРАД","ГР.КРУМОВГРАД","909 501","Средно училище ""Васил Левски""","69","80,19","69","66,01"
"КЪРДЖАЛИ","КРУМОВГРАД","С.АВРЕН","909 502","Основно училище ""Михаил Христов""","8","77,5","8","66,38"
"КЪРДЖАЛИ","КРУМОВГРАД","С.ГОРНА КУЛА","909 506","Основно училище ""Никола Йонков Вапцаров""","4","20","5","29,2"
