ОБЛАСТ;ОБЩИНА;НАСЕЛЕНО МЯСТО;УЧИЛИЩЕ;КОД;БЕЛ-УЧ;БЕЛ;МАТ-УЧ;МАТ
СОФИЯ-ГРАД;СТОЛИЧНА;С.ГЕРМАН;"84 ОСНОВНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ""";2218084;19;54,21;19;36,95
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"44. Средно училище ""Неофит Бозвели""";2219044;52;60,32;52;36,85
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище ""Професор Николай Райнов""";2202620;6;51,83;6;36,67
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"68. Средно училище ""Академик Никола Обрешков""";2207068;52;54,98;52;36,18
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО""";2214101;86;61,15;86;36,09
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"62. Основно училище ""Христо Ботев""";2203062;21;53,88;21;36,06
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"45 основно училище ""Константин Величков""";2206045;96;60,08;96;35,86
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"48 ОСНОВНО УЧИЛИЩЕ ""ЙОСИФ КОВАЧЕВ""";2220048;59;58,82;59;35,69
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"60 ОУ ""Св.св.Кирил и Методий""";2220060;40;58,54;40;35,4
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище ""Орфей""";2208526;3;62,67;3;35,25
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"79 средно училище ""Индира Ганди""";2212079;90;53,47;90;35,1
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"46 Основно училище ""Константин Фотинов"" с разширено изучаване на хореография";2204046;32;56,41;32;35
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"166 Спортно училище ""Васил Левски""";2219166;74;52,17;73;34,1
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"26 Средно училище ""Йордан Йовков""";2202026;41;59,96;41;34,06
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"23 Средно училище ""Фредерик Жолио-Кюри""";2221023;65;61,46;65;33,62
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"137 средно училище ""Ангел Кънчев""";2212137;75;56,26;75;33,3
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Специално училище за ученици с увреден слух ""Проф. д-р Дечо Денев""";2202612;5;29,7;4;33,25
