"﻿Област","Община","Населено място","Училище","Код по Админ","Явили се","Ср. успех в точки","Явили се","Ср. успех в точки"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ"
"БУРГАС","ПОМОРИЕ","С.АХЕЛОЙ","ОУ "" Христо  Ботев ""","200 704","24","56,83","24","46,27"
"БУРГАС","ПОМОРИЕ","С.БАТА","ОУ ""Христо  Ботев""","200 705","16","39,13","16","31,14"
"БУРГАС","ПОМОРИЕ","С.ГОРИЦА","ОУ""Христо Ботев""","200 706","6","40,67","6","36,42"
"БУРГАС","ПОМОРИЕ","С.ГЪЛЪБЕЦ","ОУ""Г.Ст.Раковски""","200 707","17","34,68","17","22,34"
"БУРГАС","ПОМОРИЕ","С.ДЪБНИК","ОУ "" ЕЛИН  ПЕЛИН""","200 708","5","35,7","5","26,1"
"БУРГАС","ПОМОРИЕ","С.ПОРОЙ","ОУ""Св.св. Кирил и Методий""","200 709","11","39,86","11","34,02"
"БУРГАС","ПОМОРИЕ","С.СТРАЦИН","ОУ""Отец Паисий""","200 710","21","44,88","21","37,54"
"БУРГАС","ПРИМОРСКО","ГР.ПРИМОРСКО","СУ ""Н.Й.ВАПЦАРОВ""","200 803","42","58,68","42","32,71"
"БУРГАС","ПРИМОРСКО","С.НОВО ПАНИЧАРЕВО","ОУ""Хр.Ботев""","200 801","7","15,93","7","9,18"
"БУРГАС","РУЕН","С.ВРЕСОВО","ОУ ""Д-р П. Берон""","200 907","13","16,35","14","15,75"
"БУРГАС","РУЕН","С.ДОБРА ПОЛЯНА","ОУ""Св.Св.Кирил и Методий""","200 908","11","56,36","11","34,11"
"БУРГАС","РУЕН","С.ДОБРОМИР","ОУ ""Ал. Константинов""","200 909","8","16","8","15,25"
"БУРГАС","РУЕН","С.ДЪСКОТНА","ОУ ""Климент Охридски""","200 910","12","44,08","12","35,4"
"БУРГАС","РУЕН","С.ЗАЙЧАР","ОУ "" Н.Й.Вапцаров""","200 912","12","32,79","12","24"
"БУРГАС","РУЕН","С.ЛЮЛЯКОВО","СУ "" Отец Паисий""","200 931","15","38,03","15","22,35"
"БУРГАС","РУЕН","С.ПЛАНИНИЦА","ОУ ""Н.Й.Вапцаров""","200 915","9","27,94","9","21,14"
"БУРГАС","РУЕН","С.ПРОСЕНИК","Обединено училище ""Св.Св.Кирил и Методий""","200 918","13","26,85","13","15,56"
"БУРГАС","РУЕН","С.РАЗБОЙНА","ОУ "" Д-р П. Берон""","200 919","9","33,67","9","23,44"
"БУРГАС","РУЕН","С.РЕЧИЦА","ОУ""А.С.Макаренко""","200 920","15","40,43","15","28,85"
"БУРГАС","РУЕН","С.РУЕН","СУ ""Елин Пелин""","200 932","61","21,59","61","14,77"
"БУРГАС","РУЕН","С.РЪЖИЦА","ОУ"" Иван Вазов""","200 922","14","25,57","14","24,82"
