"﻿""﻿Област""","Община","Населено място","Код по Админ","Училище","БЕЛ Брой","БЕЛ Ср.успех","МАТ Брой","МАТ Ср.успех","ИСТ Брой","ИСТ Ср.успех","ФА Брой","ФА Ср.успех","ГЕО Брой","ГЕО Ср.успех","ХООС Брой","ХООС Ср.успех","ФИЛ Брой","ФИЛ Ср.успех","БЗО Брой","БЗО Ср.успех","АЕ Брой","АЕ Ср.успех","РЕ Брой","РЕ Ср.успех","НЕ Брой","НЕ Ср.успех","ИспЕ Брой","ИспЕ Ср.успех","ФрЕ Брой","ФрЕ Ср.успех","ИтЕ Брой","ИтЕ Ср.успех"
"ХАСКОВО","СВИЛЕНГРАД","ГР.СВИЛЕНГРАД","2 605 008","Средно училище ""Д-р Петър Берон""","51","4,26","3","4,12","1","5,65","2","3,43","16","4,28","1","5,92","0","0,00","19","5,03","9","4,91","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","СИМЕОНОВГРАД","ГР.СИМЕОНОВГРАД","2 604 004","Средно училище   ""Свети Климент Охридски""","12","3,22","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","2,31","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","СТАМБОЛОВО","С.СТАМБОЛОВО","2 609 006","Средно училище    "" Свети Климент Охридски ""","40","2,88","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","3,47","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ТОПОЛОВГРАД","ГР.ТОПОЛОВГРАД","2 611 018","Средно училище ""Д-р Петър Берон""","71","3,21","2","4,91","6","2,54","0","0,00","3","2,66","2","5,92","0","0,00","25","4,10","1","4,87","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАРМАНЛИ","ГР.ХАРМАНЛИ","2 603 009","Професионална гимназия по електропромишленост и текстил ""Захари Стоянов""","27","3,20","1","2,97","0","0,00","0","0,00","7","3,42","0","0,00","0","0,00","6","3,29","5","3,97","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАРМАНЛИ","ГР.ХАРМАНЛИ","2 603 008","Средно  училище   ""Неофит Рилски""","76","4,17","0","0,00","0","0,00","0","0,00","11","3,69","0","0,00","0","0,00","16","3,75","47","4,90","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 028","Езикова гимназия   ""Проф. д-р Асен Златаров""","174","4,89","3","5,39","1","3,43","0","0,00","10","4,02","1","5,72","8","4,41","7","4,88","127","4,94","0","0,00","10","4,83","6","5,03","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 029","Природо-математическа гимназия ""Академик Боян Петканчин""","119","4,80","33","5,11","8","5,39","1","4,59","1","3,25","2","5,10","4","4,99","10","4,73","60","4,72","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 035","Професионална гимназия  по лека промишленост ""Райна Княгиня""","41","3,05","0","0,00","0","0,00","0","0,00","6","2,73","0","0,00","1","5,41","23","3,08","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 034","Професионална гимназия по дървообработване и строителство  ""Цар Иван Асен ІІ""","130","3,68","2","3,35","1","3,28","0","0,00","13","3,21","0","0,00","2","4,18","52","3,60","41","4,08","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"ХАСКОВО","ХАСКОВО","ГР.ХАСКОВО","2 601 032","Професионална гимназия по туризъм   ""Александър Паскалев""","129","3,40","0","0,00","3","3,83","0","0,00","6","3,06","1","2,92","10","3,82","62","3,36","20","3,69","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
