"﻿Област","Община","Населено място","Код","Училище","Явили се МАТ","Явили се БЕЛ","Явили се ЧО","Явили се ЧП","Ср. успех в точки МАТ (мах 100 т)","Ср. успех в точки БЕЛ (мах 100 т)","Ср. успех в точки ЧО (мах 100 т)","Ср. успех в точки ЧП (мах 100 т)"
"Стара Загора","Стара Загора","Стара Загора","2400167","Частно основно училище ""Елин Пелин""","19","19","19","19","98,16","92,11","98,42","96,58"
"Стара Загора","Стара Загора","Стара Загора","2400174","Средно училище ""Христо Ботев""","15","14","14","15","64,67","52,5","70,36","68"
"Стара Загора","Казанлък","Казанлък","2400264","Средно училище ""Екзарх Антим І ""","85","85","85","85","80,76","72,35","85,41","85,59"
"Стара Загора","Казанлък","Казанлък","2400271","Основно училище ""Кулата""","43","43","43","44","77,09","74,53","80,58","82,27"
"Стара Загора","Казанлък","Казанлък","2400272","Основно училище ""Георги Кирков""","77","77","77","77","77,01","72,79","85,65","86,3"
"Стара Загора","Казанлък","Казанлък","2400273","Основно училище ""Свети Паисий Хилендарски""","41","41","41","41","71,83","70,24","83,66","86,59"
"Стара Загора","Казанлък","Казанлък","2400274","ОСНОВНО УЧИЛИЩЕ ""МАТИ БОЛГАРИЯ""","90","91","91","91","79,89","70,49","86,59","82,42"
"Стара Загора","Казанлък","Казанлък","2400275","Основно училище ""Чудомир""","63","63","63","62","74,68","75,87","79,76","83,06"
"Стара Загора","Казанлък","Казанлък","2400276","Основно училище ""Никола Йонков Вапцаров""","73","71","74","74","82,74","74,72","90,54","89,86"
"Стара Загора","Казанлък","Казанлък","2400277","Основно училище ""Антон Страшимиров""","41","39","41","41","48,54","47,44","50,61","51,95"
"Стара Загора","Казанлък","Бузовград","2400278","Основно Училище "" Васил Левски""","4","3","3","4","52,5","31,67","58,33","48,75"
"Стара Загора","Казанлък","Горно Черковище","2400279","Основно училище""Свети Климент Охридски""","12","12","12","12","59,58","57,08","48,75","57,08"
"Стара Загора","Казанлък","Енина","2400280","Основно Училище ""Христо Ботев""","26","26","26","26","83,08","74,81","88,65","83,65"
"Стара Загора","Казанлък","Копринка","2400281","ОУ ""Кирил и Методий""","11","11","12","11","56,82","55","59,17","59,09"
"Стара Загора","Казанлък","Крън","2400282","Основно училище ""Свети Климент Охридски""","13","13","13","13","77,31","73,08","71,92","76,92"
"Стара Загора","Казанлък","Кънчево","2400283","Основно училище ,,Свети, Свети Кирил и Методий""","13","13","13","13","43,85","41,15","58,08","48,46"
"Стара Загора","Казанлък","Овощник","2400284","Основно училище ""Д-р Петър Берон""","17","18","18","18","74,41","65","66,94","71,94"
"Стара Загора","Казанлък","Ръжена","2400286","Основно училище ""Свети Свети Кирил и Методий""","16","18","0","16","64,69","66,39","0","60,63"
"Стара Загора","Казанлък","Хаджидимитрово","2400287","Основно училище Свети Паисий Хилендарски","11","11","11","11","37,27","37,73","42,27","40,91"
"Стара Загора","Казанлък","Шейново","2400288","ОУ ""Д-Р ПЕТЪР БЕРОН""","6","6","6","6","61,67","64,17","63,33","70,83"
"Стара Загора","Казанлък","Шипка","2400289","Основно училище ""Свети свети Кирил и Методий""","7","7","7","7","72,14","74,29","70","81,43"
"Стара Загора","Опан","Опан","2400837","Обединено училище ""Христо Ботев""","9","9","9","9","48,89","55","56,67","62,22"
"Стара Загора","Раднево","Раднево","2401052","Средно училище ""Гео Милев""","64","65","63","64","73,98","65,62","81,67","82,5"
"Стара Загора","Раднево","Раднево","2401054","Първо основно училище ""Свети Климент Охридски""","11","11","10","10","55,45","43,64","54,5","67,5"
"Стара Загора","Раднево","Раднево","2401055","Второ основно училище ""Свети Паисий Хилендарски""","46","47","44","44","66,85","65,96","73,64","71,36"
"Стара Загора","Раднево","Коларово","2401058","Основно училище ""Поп Минчо""","11","11","10","10","66,36","71,82","71","72"
