Област;Община;Населено място;Код;Училище;Явили се БЕЛ;Ср. успех в точки БЕЛ;Явили се MAT;Ср. успех в точки MAT
СОФИЯ-ОБЛАСТ;СЛИВНИЦА;С.АЛДОМИРОВЦИ;2306518;ОУ Ив.Вазов;9;32.33;8;12.69
СОФИЯ-ОБЛАСТ;ЧЕЛОПЕЧ;С.ЧЕЛОПЕЧ;2307223;ОУ Св.Св.Кирил и Методий;25;54.40;25;42.12
СОФИЯ-ОБЛАСТ;АНТОН;С.АНТОН;2307255;ОУ Св.Св. Кирил и Методий;16;53.69;16;51.66
СОФИЯ-ОБЛАСТ;МИРКОВО;С.МИРКОВО;2307277;ОУ Г.Бенковски;6;43.67;6;29.13
СОФИЯ-ОБЛАСТ;КОСТИНБРОД;ГР.КОСТИНБРОД;2308290;I ОУ Васил Левски;18;46.56;17;27.40
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;С.ЛИТАКОВО;2308415;ОУ В. Левски;19;15.87;18;14.68
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;ГР.БОТЕВГРАД;2308753;ОУ В. Левски;12;18.21;11;12.86
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;ГР.БОТЕВГРАД;2308760;ОУ Н.Й.Вапцаров;109;59.33;109;38.23
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;С.ЕЛИН ПЕЛИН (ГАРА ЕЛИН П;2308778;ОУ Стефан Стефанов;17;41.32;17;26.99
СОФИЯ-ОБЛАСТ;ЕТРОПОЛЕ;ГР.ЕТРОПОЛЕ;2308785;ОУ Хр.Ботев -Етрополе;14;18.43;15;11.33
СОФИЯ-ОБЛАСТ;ЗЛАТИЦА;ГР.ЗЛАТИЦА;2308792;СУ Св. Паисий Хилендарски;46;51.67;46;31.42
СОФИЯ-ОБЛАСТ;ИХТИМАН;ГР.ИХТИМАН;2308810;ОУ Св.Св. Кирил и Методий;63;14.12;63;21.02
СОФИЯ-ОБЛАСТ;СВОГЕ;С.ИСКРЕЦ;2308828;ОУ Св. Иван Рилски;7;37.36;7;27.39
СОФИЯ-ОБЛАСТ;СВОГЕ;ГР.СВОГЕ;2308867;СУ Иван Вазов;68;58.40;68;26.20
СОФИЯ-ОБЛАСТ;САМОКОВ;ГР.САМОКОВ;2308917;ОУ Митрополит Авкс.Велешки;74;52.35;72;28.28
СОФИЯ-ОБЛАСТ;САМОКОВ;ГР.САМОКОВ;2308924;ОУ Христо Максимов;20;43.38;20;24.98
СОФИЯ-ОБЛАСТ;БОЖУРИЩЕ;ГР.БОЖУРИЩЕ;2308970;СУ Летец Хр.Топракчиев;61;59.85;61;41.87
СОФИЯ-ОБЛАСТ;БОЖУРИЩЕ;С.ХЕРАКОВО;2308988;ОУ Св. св. Кирил и Методий;5;10.90;5;12.40
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;С.ВРАЧЕШ;2309015;ОУ Отец Паисий;15;31.40;15;20.47
СОФИЯ-ОБЛАСТ;БОТЕВГРАД;С.СКРАВЕНА;2309022;ОУ Св.Св. Кирил и Методий;11;31.14;13;29.60
СОФИЯ-ОБЛАСТ;ИХТИМАН;С.ВАКАРЕЛ;2309054;ОУ Христо Смирненски;10;36.10;13;18.21
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;С.ГАБРА;2309080;ОУ Отец Паисий;4;50.63;4;21.00
СОФИЯ-ОБЛАСТ;СВОГЕ;С.ЛАКАТНИК(ГАРА ЛАКАТНИК);2309111;ОУ Христо Ботев;8;54.00;8;18.78
СОФИЯ-ОБЛАСТ;ГОРНА МАЛИНА;С.АПРИЛОВО;2309200;ОУ Св. Св. Кирил и Методий;14;26.39;15;16.35
СОФИЯ-ОБЛАСТ;ГОРНА МАЛИНА;С.ГОРНА МАЛИНА;2309225;СУ Хр. Ботев;28;49.79;28;24.21
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;С.РАВНО ПОЛЕ;2309264;ОУ Христо Ботев;6;61.67;6;38.88
СОФИЯ-ОБЛАСТ;ПРАВЕЦ;С.ДЖУРОВО;2309314;ОУ Христо Ботев;15;22.20;15;35.60
СОФИЯ-ОБЛАСТ;ПРАВЕЦ;С.ОСИКОВИЦА;2309339;ОУ Любен Каравелов;14;19.93;14;33.80
СОФИЯ-ОБЛАСТ;САМОКОВ;С.РАДУИЛ;2309353;ОУ Христо Смирненски;2;26.50;2;19.00
СОФИЯ-ОБЛАСТ;ГОРНА МАЛИНА;С.ДОЛНО КАМАРЦИ;2309385;ОУ Отец Паисий;6;25.17;6;27.00
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;С.МУСАЧЕВО;2309403;ОУ Иван Вазов;5;31.80;6;15.58
СОФИЯ-ОБЛАСТ;ЕЛИН ПЕЛИН;С.НОВИ ХАН;2309410;ОУ Св.Св. Кирил и Методий;17;45.91;17;27.76
СОФИЯ-ОБЛАСТ;ЕТРОПОЛЕ;С.МАЛКИ ИСКЪР;2309454;ОУ Г. Бенковски;10;13.90;9;32.14
СОФИЯ-ОБЛАСТ;ЧАВДАР;С.ЧАВДАР;2309499;ОУ Св.св.Кирил и Методий;12;47.63;12;27.04
СОФИЯ-ОБЛАСТ;КОСТЕНЕЦ;ГР.КОСТЕНЕЦ;2309531;ОУ Св.св.Кирил и Методий;25;48.06;25;32.20
СОФИЯ-ОБЛАСТ;КОСТЕНЕЦ;С.МОМИН ПРОХОД;2309532;ОУ Хр. Смирненски;4;57.25;4;43.88
СОФИЯ-ОБЛАСТ;САМОКОВ;С.ЯРЛОВО;2309606;ОУ Васил Левски;5;23.10;6;35.67
