"﻿Област","Община","Населено място","Код по Админ","Училище","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ","ИСТ","ИСТ","ФА","ФА","ГЕО","ГЕО","ХООС","ХООС","ФИЛ","ФИЛ","БЗО","БЗО","АЕ","АЕ","РЕ","РЕ","НЕ","НЕ","ИспЕ","ИспЕ","ФрЕ","ФрЕ","ИтЕ","ИтЕ","2ДЗИ","2ДЗИ","общо","общо"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","102 017","Професионална гимназия  по механизация на селското стопанствo","39","3,35","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","39","3,35"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","103 501","Средно училище  ""Братя Петър и Иван Каназиреви""","44","4,89","8","4,52","1","5,53","0","0,00","2","4,19","1","6,00","7","4,76","8","5,67","16","5,65","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","43","5,24","87","5,06"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","102 007","Професионална техническа гимназия","19","3,28","0","0,00","0","0,00","0","0,00","9","3,05","0","0,00","1","4,29","4","3,24","1","5,04","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","15","3,32","34","3,30"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","102 013","Земеделска професионална гимназия  ""Климент Аркадиевич Тимирязев""","130","4,20","3","3,13","0","0,00","0","0,00","22","3,36","0","0,00","0","0,00","2","4,90","11","5,35","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","38","4,00","168","4,15"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","104 101","Профилирана гимназия ""Яне Сандански""","115","4,31","13","4,22","1","5,32","0","0,00","54","3,62","1","5,61","3","4,34","2","4,38","44","5,31","0","0,00","1","4,46","0","0,00","0","0,00","0","0,00","119","4,38","234","4,34"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","108 021","Вечерна профилирана гимназия","18","2,93","0","0,00","0","0,00","0","0,00","10","3,11","0","0,00","0","0,00","5","3,27","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","15","3,16","33","3,03"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","109 185","Спортно училище","14","3,64","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","14","3,64"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","109 030","Средно училище  ""Христо Ботев""","39","4,06","2","3,94","1","4,67","0","0,00","0","0,00","1","5,92","5","5,22","29","4,65","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","38","4,72","77","4,39"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","109 055","Средно училище  ""Христо Смирненски""","18","3,94","2","4,29","0","0,00","0","0,00","0","0,00","2","4,77","2","4,53","7","4,22","4","4,39","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","17","4,37","35","4,15"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","109 050","Средно училище  ""Св. Св. Кирил и Методий""","34","4,13","0","0,00","0","0,00","0","0,00","0","0,00","1","5,46","30","4,56","1","3,56","2","4,31","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","34","4,54","68","4,33"
