"Град","Код","Име","БЕЛ","МАТ"
"Благоевград","102060","V СУ Георги Измирлиев","55.11","38.02"
"Велико Търново","300101","ОУ Христо Ботев","34.71","16.88"
"Велико Търново","300102","ОУ Бачо Киро","66.94","50.81"
"Велико Търново","300103","ОУ Св.Патр. Евтимий","64.66","50.44"
"Велико Търново","300104","ОУ Д.Благоев","53.93","38.98"
"Велико Търново","300105","ОУ П.Р.Славейков","55.83","32.98"
"Велико Търново","300124","СУ Емилиян Станев","68.12","44.02"
"Велико Търново","300125","СУ Вела Благоева","58.40","32.41"
"Велико Търново","300126","СУ Владимир Комаров","34.94","15.84"
"Велико Търново","300143","Спортно училище","47.20","28.49"
"Видин","500102","ППМГ Екзарх Антим І","74.56","67.91"
"Видин","500104","ОУ Любен Каравелов","48.41","27.46"
"Видин","500111","ОУ Еп. Софроний Врачански","14.87","26.88"
"Видин","500112","ОУ Отец Паисий","43.91","20.86"
"Видин","500113","ОУ Св. Климент Охридски","35.82","16.14"
"Видин","503132","СУ Цар Симеон Велики","63.35","34.89"
"Видин","503241","СУ Св.св.Кирил и Методий","44.87","18.84"
"Видин","503242","СУ П. Р. Славейков","40.57","22.26"
"Видин","503312","ОУ Иван Вазов","58.95","40.86"
"Враца","600327","СУ Козма Тричков","61.55","32.77"
"Враца","602041","ОУ Васил Левски","32.27","21.74"
"Враца","602042","ОУ Св.св.Кирил и Методий","37.91","18.14"
"Враца","602062","ППМГ Акад. Иван Ценов","74.91","71.79"
"Враца","603057","СУ Отец Паисий","40.96","21.74"
"Враца","603058","СУ Христо Ботев","60.05","37.61"
"Враца","603059","СУ Васил Кънчов","60.21","42.09"
"Враца","603070","СУ Никола Войводов","51.16","26.17"
"Враца","608060","СУ Св. Климент Охридски","39.04","19.35"
"Враца","1203007","СУ Св. св. Кирил и Методий","20.50","19.00"
"Габрово","700102","ОУ Ран Босилек – Габрово","66.80","42.64"
"Габрово","700103","ОУ Неофит Рилски -Габрово","54.67","33.90"
"Габрово","700106","VІ ОУ Иван Вазов -Габрово","43.15","27.01"
"Габрово","700108","ОУ Кирил и Методий -Габрово","60.50","37.52"
"Габрово","700112","ОУ Хр. Ботев -Габрово","46.48","24.26"
"Габрово","700113","СУ Отец Паисий","41.31","18.05"
"Габрово","700114","СУ Райчо Каролев – Габрово","60.07","35.07"
"Габрово","700116","ПМГ Акад. Иван Гюзелев","77.26","72.42"
"Добрич","800003","ОбУ Йордан Йовков","17.37","11.33"
"Добрич","800004","ОУ Никола Й. Вапцаров","20.08","15.85"
"Добрич","800007","ОУ Панайот Волов","10.74","20.32"
"Добрич","800008","ОУ Стефан Караджа","36.19","24.00"
"Добрич","800009","ОУ Хан Аспарух","64.72","37.28"
"Добрич","800010","ОУ Христо Смирненски","27.98","15.63"
"Добрич","800011","ОУ Христо Ботев","58.69","44.89"
"Добрич","800012","СУ Георги Ст. Раковски","31.29","15.94"
"Добрич","800013","СУ Димитър Талев","54.26","30.27"
"Добрич","800015","СУ Св. Климент Охридски","58.79","38.62"
"Добрич","800016","СУ Любен Каравелов","45.23","24.40"
"Добрич","800017","СУ Петко Р. Славейков","73.13","54.76"
"Добрич","800018","СУ Св.св. Кирил и Методий","59.51","36.83"
"Добрич","800019","ПМГ Иван Вазов","59.98","46.82"
"Добрич","800112","ЧОУ Мария Монтесори","66.75","43.94"
"Добрич","800326","ЧСУ Леонардо да Винчи","57.31","39.00"
"Кърджали","909101","СУ Вл. Д.-Майстора","33.55","26.52"
"Кърджали","909103","СУ Йордан Йовков","33.29","23.86"
"Кърджали","909104","ОУ Св.Кл.Охридски","51.09","50.09"
"Кърджали","909105","СУ Отец Паисий","55.80","40.10"
"Кърджали","909106","СУ П. Р.Славейков","48.92","36.43"
"Кърджали","909115","ОУ Васил Левски","19.71","10.46"
"Кърджали","909116","ОУ Св. Св. Кирил и Методий","36.22","21.52"
"Кърджали","909117","ОУ П.К.Яворов","16.26","18.12"
"Кюстендил","1000053","V ОУ Хр. Ботев – Кюстендил","34.00","28.71"
"Кюстендил","1000330","ОУ Проф. М. Дринов – Кюстендил","49.73","27.84"
"Кюстендил","1000340","ОУ Иван Вазов – Кюстендил","12.58","13.64"
"Кюстендил","1000550","ПМГ Проф. Ем. Иванов – Кюстендил","71.84","58.02"
"Кюстендил","1001390","СУ В. Левски – Кюстендил","40.10","22.15"
"Кюстендил","1001410","VІ ОУ Св. П. Хилендарски – Кюстендил","50.94","27.33"
"Кюстендил","1001590","VІІ ОУ Ильо войвода – Кюстендил","38.03","23.83"
"Кюстендил","1001680","ОУ Даскал Димитри – Кюстендил","49.61","21.47"
"Кюстендил","1001830","ОУ Св. св. Кирил и Методий – Кюстендил","54.29","36.18"
"Ловеч","1100301","ОУ Васил Левски","66.04","44.17"
"Ловеч","1100304","ОУ Христо Никифоров","56.44","35.62"
"Ловеч","1100305","ОУ Св.Св. Кирил и Методий","14.38","15.56"
"Ловеч","1100316","СУ Тодор Кирков","31.35","17.72"
"Ловеч","1100317","ОУ Панайот Пипков","10.50","10.82"
"Ловеч","1100318","СУ Св. Климент Охридски","43.13","27.43"
"Ловеч","1100320","ППМГ","81.72","85.81"
"Ловеч","1100336","ОУ Проф. Димитър Димов","53.98","31.93"
"Монтана","1201001","ПМПГ Св. Кл. Охридски","76.12","67.91"
"Монтана","1201003","І ОУ Св.Св. Кирил и Методий","49.75","24.97"
"Монтана","1201004","II СУ Н. Й. Вапцаров","44.34","26.68"
"Монтана","1201005","III ОУ Д-р Петър Берон","51.56","33.52"
"Монтана","1201006","IV ОУ Иван Вазов","63.31","36.50"
"Монтана","1201007","V СУ Христо Ботев","33.74","22.55"
"Монтана","1201011","VII СУ Йордан Радичков","27.08","15.73"
"Монтана","1201034","VI СУ Отец Паисий","33.87","23.22"
"Пазарджик","1300013","СУ Пазарджик","42.25","22.48"
"Пазарджик","1301234","СУ Димитър Гачев","14.68","30.68"
"Пазарджик","1301717","ОУ Проф. Ив. Батаклиев","69.16","49.19"
"Пазарджик","1301724","ОУ Св.св.Кирил и Методий","7.07","13.43"
"Пазарджик","1302502","I ОУ Св. Кл. Охридски","62.31","43.55"
"Пазарджик","1302517","ОУ Стефан Захариев","20.86","16.56"
"Пазарджик","1302534","ОУ Христо Ботев","17.40","12.34"
"Пазарджик","1304930","ОУ Хр. Смирненски","56.68","36.30"
"Пазарджик","1304948","СУ Г. Бенковски","58.35","34.74"
"Пазарджик","1305338","СУ Георги Брегов","56.50","30.35"
"Пазарджик","1305831","СУ Д-р П.Берон","50.72","29.66"
"Пазарджик","1307267","ОУ Любен Каравелов","49.79","30.40"
"Пазарджик","1309018","ПМГ К. Величков","73.03","69.49"
"Перник","1403201","ОУ Св. Ив. Рилски","62.20","36.61"
"Перник","1403202","VII ОУ Г. С. Раковски","38.91","21.00"
"Перник","1403204","СУ Темелко Ненков","25.61","17.39"
"Перник","1403205","Х ОУ Ал. Константинов","56.36","35.85"
"Перник","1403206","XI ОУ Елин Пелин","56.15","30.82"
