"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2203146","146 Основно училище Патриарх Евтимий","58.36","26.32","25","25"
"София","2210085","85 Средно училище Отец Паисий","53.39","26.1","33","33"
"София","2221093","93-то Средно училище Александър Теодоров - Балан","50.44","26.01","44","43"
"София","2215170","170 Средно училище Васил Левски","50.45","25.91","93","92"
"София","2208135","135 средно училище Ян Амос Коменски","50.97","25.43","53","52"
"София","2215176","176 ОУ","52.02","25.3","23","23"
"София","2207065","65 основно училище Св. Св. Кирил и Методий","37.33","24.29","6","6"
"София","2215160","160 Основно училище Кирил и Методий","46.89","23.92","9","9"
"София","2210117","117. СУ","46.47","22.65","31","32"
"София","2210159","159 основно училище Васил Левски","54.84","22.41","19","19"
"София","2208028","28 Средно училище Алеко Константинов","44.55","22.24","40","39"
"София","2213307","СПОРТНО УЧИЛИЩЕ ГЕН. ВЛАДИМИР СТОЙЧЕВ","44.95","22.06","43","43"
"София","2218071","71 Средно училище Пейо Яворов","47.72","21.85","46","46"
"София","2212090","90 Средно училище Генерал Хосе де Сан Мартин","49.35","21.37","71","71"
"София","2213131","131. СУ Климент Аркадиевич Тимирязев","50.73","21.25","20","20"
"София","2221148","148 ОСНОВНО УЧИЛИЩЕ ПРОФЕСОР Д-Р ЛЮБОМИР МИЛЕТИЧ","49.47","20.98","30","30"
"София","2220029","29. Средно училище Кузман Шапкарев","42.77","20.02","13","13"
"София","2215179","179 Основно училище Васил Левски","42.93","19.87","15","15"
"София","2217066","66 Средно училище Филип Станиславов","32.55","18.72","20","19"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","43.38","18.44","56","56"
"София","2219106","106 Основно училище Григорий Цамблак ","21.27","17.59","11","11"
"София","2204674","Частно основно училище Езиков свят","41","17.5","2","2"
"София","2214153","153 Спортно училище Неофит Рилски","37.91","17.35","43","43"
"София","2207069","69 Средно училище Димитър Маринов","38.28","17.33","18","18"
"София","2210162","162 Обединено училище Отец Паисий","27.81","15.91","39","37"
"София","2214141","141 Основно училище Народни будители","31.83","14.92","6","6"
"София","2219124","124 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","21.06","14.81","8","9"
"София","2208057","57 Спортно училище Свети Наум Охридски","27.22","14.2","50","47"
"София","2219130","130. средно училище Стефан Караджа","32.13","13","20","20"
"София","2204067","67 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ДРУМЕВ","16.71","12.86","40","42"
"София","2215172","172 Обединено училище Христо Ботев","24.56","12.44","9","9"
